Address,FirstDraw
103XX S AVENUE J,2.4
103XX S AVENUE N,3.3
103XX S AVENUE N,12
103XX S AVENUE N,3.3
103XX S AVENUE O,3.1
103XX S BELL AVE,1.3
103XX S BELL AVE,9.9
103XX S BELL AVE,3.3
103XX S BELL AVE,1.1
103XX S BENSLEY AVE,1.2
103XX S CALHOUN AVE,1.1
103XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results
103XX S CALHOUN AVE,3.2
103XX S CALIFORNIA AVE,1.1
103XX S CALIFORNIA AVE,< 1
103XX S CALIFORNIA AVE,1.1
103XX S CAMPBELL AVE,1.2
103XX S CAMPBELL AVE,2.1
103XX S CENTRAL PARK AVE,2.6
103XX S CENTRAL PARK AVE,2.6
103XX S CENTRAL PARK AVE,3.6
103XX S CHRISTIANA AVE,4.5
103XX S CHRISTIANA AVE,2.8
103XX S CHRISTIANA AVE,3.1
103XX S CHRISTIANA AVE,1.6
103XX S CLAREMONT AVE,3.4
103XX S CLAREMONT AVE,1.6
103XX S COTTAGE GROVE AVE,3.8
103XX S CRANDON AVE,4.7
103XX S CRANDON AVE,2.6
103XX S CRANDON AVE,1.6
103XX S CRANDON AVE,1.9
103XX S DR MARTIN LUTHER KING JR DR,2.4
103XX S DRAKE AVE,2.6
103XX S DRAKE AVE,4.2
103XX S DRAKE AVE,2.8
103XX S DRAKE AVE,7.3
103XX S EBERHART AVE,2.7
103XX S EBERHART AVE,2.3
103XX S EMERALD AVE,3.3
103XX S FAIRFIELD AVE,4
103XX S FAIRFIELD AVE,1.9
103XX S FAIRFIELD AVE,5.1
103XX S FAIRFIELD AVE,2.4
103XX S FOREST AVE,5.8
103XX S FOREST AVE,Customer declined further testing
103XX S FOREST AVE,2.4
103XX S FOREST AVE,1.8
103XX S FOREST AVE,2.5
103XX S GREEN BAY AVE,3.1
103XX S HALE AVE,3.8
103XX S HALE AVE,3.2
103XX S HALE AVE,3
103XX S HAMILTON AVE,3.5
103XX S HAMILTON AVE,1.4
103XX S HAMILTON AVE,2.8
103XX S HAMILTON AVE,2.9
103XX S HAMILTON AVE,7.6
103XX S HAMILTON AVE,7.6
103XX S HAMILTON AVE,See Follow-Up Sequential Sampling Table for Results
103XX S HAMLIN AVE,3.1
103XX S HAMLIN AVE,4.1
103XX S HAMLIN AVE,< 1
103XX S HAMLIN AVE,5.3
103XX S HAMLIN AVE,5.2
103XX S HAMLIN AVE,Customer declined further testing
103XX S HAMLIN AVE,21
103XX S HOMAN AVE,1.7
103XX S HOMAN AVE,4.5
103XX S HOMAN AVE,1.9
103XX S HOMAN AVE,2.8
103XX S HOMAN AVE,8.6
103XX S HOMAN AVE,3.9
103XX S HOMAN AVE,12
103XX S HOMAN AVE,Customer declined further testing
103XX S Homan Ave,3.2
103XX S HOMAN AVE,3.2
103XX S HOXIE AVE,1.8
103XX S HOYNE AVE,4
103XX S HOYNE AVE,10
103XX S HOYNE AVE,1.2
103XX S INDIANA AVE,3
103XX S LAWNDALE AVE,7.4
103XX S LAWNDALE AVE,1.9
103XX S LEAVITT ST,< 1
103XX S LEAVITT ST,1.8
103XX S LEAVITT ST,2.3
103XX S LEAVITT ST,3.6
103XX S LONGWOOD DR,< 1
103XX S LONGWOOD DR,< 1
103XX S LONGWOOD DR,< 1
103XX S LONGWOOD DR,1.8
103XX S MILLARD AVE,< 1
103XX S MILLARD AVE,< 1
103XX S MORGAN ST,23
103XX S MORGAN ST,See Follow-Up Sequential Sampling Table for Results
103XX S MORGAN ST,23
103XX S OAKLEY AVE,1.6
103XX S OAKLEY AVE,2.2
103XX S OAKLEY AVE,2.7
103XX S OGLESBY AVE,1.9
103XX S PEORIA,240
103XX S PEORIA,See Follow-Up Sequential Sampling Table for Results
103XX S PEORIA ST,10
103XX S PEORIA ST,5.7
103XX S PEORIA ST,240
103XX S PRAIRIE AVE,<0.5
103XX S PROSPECT AVE,7.3
103XX S PROSPECT AVE,7.3
103XX S PROSPECT AVE,See Follow-Up Sequential Sampling Table for Results
103XX S RACINE AVE,1.9
103XX S RACINE AVE,1.9
103XX S RHODES AVE,1.4
103XX S RHODES AVE,0.9
103XX S RIDGEWAY AVE,1.2
103XX S RIDGEWAY AVE,1.1
103XX S SACRAMENTO AVE,< 1
103XX S SACRAMENTO AVE,2.8
103XX S SAINT LOUIS AVE,< 1
103XX S SAINT LOUIS AVE,2.8
103XX S SAWYER AVE,1.9
103XX S SAWYER AVE,3.5
103XX S SAWYER AVE,5.6
103XX S SEELEY AVE,4.1
103XX S SPAULDING AVE,6.8
103XX S SPAULDING AVE,2.4
103XX S SPRINGFIELD AVE,< 1
103XX S ST LOUIS AVE,2.1
103XX S ST LOUIS AVE,2.2
103XX S ST LOUIS AVE,2.2
103XX S ST LOUIS AVE,See Follow-Up Sequential Sampling Table for Results
103XX S TALMAN AVE,2.8
103XX S TALMAN AVE,2.5
103XX S TALMAN AVE,2
103XX S TROY ST,2.2
103XX S TROY ST,6.6
103XX S TROY ST,4.4
103XX S TRUMBULL AVE,2
103XX S VERNON AVE,3.7
103XX S VERNON AVE,3.7
103XX S VERNON AVE,See Follow-Up Sequential Sampling Table for Results
103XX S WALLACE ST,1.7
103XX S WHIPPLE ST,5.7
103XX S WHIPPLE ST,1.8
103XX S WHIPPLE ST,2.7
103XX S WHIPPLE ST,2.7
103XX S WOOD ST,1.9
104XX S ALBANY,5.1
104XX S ALBANY,See Follow-Up Sequential Sampling Table for Results
104XX S ALBANY,150
104XX S ALBANY,See Follow-Up Sequential Sampling Table for Results
104XX S ALBANY AVE,2.2
104XX S ALBANY AVE,1.2
104XX S ALBANY AVE,1.9
104XX S ALBANY AVE,7.4
104XX S ALBANY AVE,5.1
104XX S ALBANY AVE,150
104XX S ALBANY AVE,2.5
104XX S ALBANY ST,< 1
104XX S ARTESIAN AVE,5.1
104XX S ARTESIAN AVE,3.1
104XX S ARTESIAN AVE,2.5
104XX S ARTESIAN AVE,< 1
104XX S AVENUE F,< 1
104XX S AVENUE F,7.2
104XX S AVENUE F,6
104XX S AVENUE F,7.2
104XX S AVENUE F,See Follow-Up Sequential Sampling Table for Results
104XX S AVENUE G,2.5
104XX S AVENUE G,< 1
104XX S AVENUE J,8.4
104XX S AVENUE J,8.9
104XX S AVENUE J,8.9
104XX S AVENUE J,See Follow-Up Sequential Sampling Table for Results
104XX S AVENUE J AVE,4
104XX S AVENUE J AVE,3.5
104XX S AVENUE M,4.8
104XX S AVENUE M AVE,2.6
104XX S AVENUE N,2.2
104XX S AVERS AVE,1.1
104XX S AVERS AVE,3.1
104XX S BELL AVE,2.2
104XX S BELL AVE,1.4
104XX S BELL AVE,< 1
104XX S BELL AVE,< 1
104XX S BELL AVE,8.7
104XX S BELL AVE,Customer declined further testing
104XX S BENSLEY AVE,30
104XX S BENSLEY AVE,30
104XX S CALHOUN AVE,6.3
104XX S CALUMET AVE,2.6
104XX S CALUMET AVE,2
104XX S CALUMET AVE,2.8
104XX S CALUMET AVE,10
104XX S CALUMET AVE,10
104XX S CALUMET AVE,See Follow-Up Sequential Sampling Table for Results
104XX S CAMPBELL AVE,<1
104XX S CAMPBELL AVE,1.16
104XX S CAMPBELL AVE,1.3
104XX S CAMPBELL AVE,1.1
104XX S CENTRAL PARK AVE,3.76
104XX S CENTRAL PARK AVE,1.59
104XX S CHARLES ST,4.6
104XX S CHRISTIANA AVE,5.1
104XX S CLAREMONT AVE,< 1
104XX S CLAREMONT AVE,2.6
104XX S CORLISS AVE,See Follow-Up Sequential Sampling Table for Results
104XX S CORLISS AVE,1100
104XX S CORLISS AVE,See Follow-Up Sequential Sampling Table for Results
104XX S CORLISS AVE,33
104XX S CORLISS AVE,See Follow-Up Sequential Sampling Table for Results
104XX S CORLISS AVE,1100
104XX S CORLISS AVE,33
104XX S CORLISS AVE,33
104XX S DR MARTIN LUTHER KING JR DR,6.2
104XX S DR MARTIN LUTHER KING JR DR,< 1
104XX S DRAKE AVE,2.9
104XX S DRAKE AVE,2.8
104XX S DRAKE AVE,3
104XX S DRAKE AVE,5.5
104XX S EBERHART AVE,2.6
104XX S EGGLESTON AVE,1.2
104XX S EGGLESTON AVE,7.5
104XX S EGGLESTON AVE,7.5
104XX S EGGLESTON AVE,See Follow-Up Sequential Sampling Table for Results
104XX S EGGLESTON AVE,2.9
104XX S EMERALD AVE,3
104XX S F,<0.5
104XX S FOREST AVE,2.5
104XX S FOREST AVE,3.2
104XX S FOREST AVE,2.5
104XX S GREEN ST,7.9
104XX S GREEN ST,3.1
104XX S H,3
104XX S HAMILTON AVE,4.3
104XX S HAMILTON AVE,2.5
104XX S HAMILTON AVE,2.3
104XX S HAMLIN AVE,2.5
104XX S HAMLIN AVE,< 1
104XX S HAMLIN AVE,4.2
104XX S HAMLIN AVE,4.6
104XX S HOMAN AVE,3
104XX S HOMAN AVE,< 1
104XX S HOMAN AVE,< 1
104XX S HOXIE AVE,3.1
104XX S HOXIE AVE,2.9
104XX S HOYNE AVE,2.5
104XX S HOYNE AVE,3.1
104XX S HOYNE AVE,2.2
104XX S INDIANA AVE,1.4
104XX S INDIANA AVE,1.1
104XX S INDIANA AVE,3.8
104XX S INDIANA AVE,4.8
104XX S LAWNDALE AVE,2
104XX S LAWNDALE AVE,6.2
104XX S LAWNDALE AVE,3.5
104XX S LAWNDALE AVE,3.2
104XX S LEAVITT ST,4
104XX S LEAVITT ST,1.5
104XX S LEAVITT ST,3.6
104XX S LONGWOOD DR,3.5
104XX S LONGWOOD DR,6.9
104XX S LONGWOOD DR,7.6
104XX S M ST,< 1
104XX S M ST,3.5
104XX S MAPLEWOOD AVE,1.9
104XX S MAPLEWOOD AVE,2.5
104XX S MAPLEWOOD AVE,2.1
104XX S MILLARD AVE,5.1
104XX S MILLARD AVE,5.3
104XX S N,2.9
104XX S N,1
104XX S NORMAL AVE,1.4
104XX S NORMAL AVE,1.2
104XX S Normal Ave,3.1
104XX S OAKLEY AVE,< 1
104XX S OAKLEY AVE,< 1
104XX S OAKLEY AVE,1.7
104XX S OAKLEY AVE,1.1
104XX S OAKLEY AVE,< 1
104XX S PARNELL AVE,4.3
104XX S PRAIRIE AVE,1.3
104XX S PRAIRIE AVE,2.6
104XX S PRAIRIE AVE,3.7
104XX S PROSPECT AVE,1.5
104XX S PROSPECT AVE,< 1
104XX S PROSPECT AVE,< 1
104XX S PROSPECT AVE,2.3
104XX S RACINE AVE,1.1
104XX S RHODES AVE,4.4
104XX S RHODES AVE,3.7
104XX S RHODES AVE,See Follow-Up Sequential Sampling Table for Results
104XX S RHODES AVE,3.7
104XX S RHODES AVE,3.7
104XX S RHODES AVE,2.9
104XX S RHODES AVE,2.8
104XX S SACRAMENTO AVE,2.2
104XX S SACRAMENTO AVE,1.2
104XX S SAINT LOUIS AVE,2.9
104XX S SAINT LOUIS AVE,2.1
104XX S SAINT LOUIS AVE,3.8
104XX S SANGAMON ST,< 1
104XX S SANGAMON ST,1.9
104XX S SANGAMON ST,4.4
104XX S SANGAMON ST,3.1
104XX S SAWYER AVE,2.5
104XX S SAWYER AVE,1.1
104XX S SAWYER AVE,2.8
104XX S SAWYER AVE,1
104XX S SEELEY AVE,1.2
104XX S SEELEY AVE,1.1
104XX S SEELEY AVE,3.5
104XX S SPAULDING AVE,3.4
104XX S SPAULDING AVE,3
104XX S SPRINGFIELD AVE,2.1
104XX S SPRINGFIELD AVE,2.6
104XX S SPRINGFIELD AVE,4.8
104XX S SPRINGFIELD AVE,See Follow-Up Sequential Sampling Table for Results
104XX S ST LOUIS AVE,1.1
104XX S TALMAN AVE,3.5
104XX S TALMAN AVE,2.2
104XX S TALMAN AVE,4.7
104XX S TALMAN AVE,4.4
104XX S TALMAN AVE,3.6
104XX S TORRENCE AVE,4.9
104XX S TROY ST,2.5
104XX S TROY ST,4.1
104XX S TROY ST,1.6
104XX S TROY ST,4.4
104XX S TROY ST,2
104XX S TRUMBALL AVE,15
104XX S TRUMBALL AVE,See Follow-Up Sequential Sampling Table for Results
104XX S TRUMBULL AVE,< 1
104XX S TRUMBULL AVE,3.1
104XX S TRUMBULL AVE,< 1
104XX S TRUMBULL AVE,15
104XX S UNION AVE,2.1
104XX S VERNON AVE,6
104XX S VERNON AVE,25.6
104XX S VERNON AVE,Customer declined further testing
104XX S VERNON AVE,2.3
104XX S WABASH AVE,2
104XX S Wabash Ave,1.9
104XX S WALDEN PKWY,3.5
104XX S WENTWORTH AVE,1.8
104XX S WENTWORTH AVE,1.4
104XX S WENTWORTH AVE,1.4
104XX S WENTWORTH AVE,3.1
104XX S WESTERN AVE,< 1
